name,kind,outcome,message,package,compile_cost,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,index_reduced,n_blocks,n_coupled,largest_coupled,n_connect_eq,n_flow_eq,n_event_conditions,n_discrete_updates,has_arrays,max_depth,n_functions
Modelica.Blocks.Examples.TotalHarmonicDistortion,Examples,success,,Blocks,fast,119,6,64,23,156,ok,,119,0,0,60,3,58,28,false,4,3
Modelica.Blocks.Icons.Block,Icons,success,,Blocks,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Icons.BooleanBlock,Icons,success,,Blocks,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Icons.DiscreteBlock,Icons,success,,Blocks,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Icons.IntegerBlock,Icons,success,,Blocks,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Icons.PartialBooleanBlock,Icons,success,,Blocks,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interaction.Show.BooleanValue,Component,success,,Blocks,fast,1,0,0,2,1,singular,singular,,,,1,0,0,1,false,0,0
Modelica.Blocks.Interaction.Show.IntegerValue,Component,success,,Blocks,fast,1,0,0,2,1,singular,singular,,,,1,0,0,1,false,0,0
Modelica.Blocks.Interaction.Show.RealValue,Component,success,,Blocks,fast,2,0,1,0,2,ok,,2,0,0,1,0,0,0,false,0,0
Modelica.Blocks.Interfaces.Adaptors.FlowToPotentialAdaptor,Interfaces,success,,Blocks,fast,8,2,3,0,10,singular,singular,,,,4,0,0,0,false,0,1
Modelica.Blocks.Interfaces.Adaptors.PotentialToFlowAdaptor,Interfaces,success,,Blocks,fast,8,2,3,0,10,singular,singular,,,,4,0,0,0,false,0,1
Modelica.Blocks.Interfaces.BooleanMIMOs,Interfaces,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.BooleanSISO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.BooleanSignalSource,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.DiscreteBlock,Interfaces,success,,Blocks,fast,0,0,0,3,6,error:empty system: no equations or unknowns,,,,,0,0,1,2,false,1,0
Modelica.Blocks.Interfaces.DiscreteMIMO,Interfaces,success,,Blocks,fast,0,0,0,3,8,singular,singular,,,,0,0,1,2,false,1,0
Modelica.Blocks.Interfaces.DiscreteMIMOs,Interfaces,success,,Blocks,fast,0,0,0,3,7,singular,singular,,,,0,0,1,2,false,1,0
Modelica.Blocks.Interfaces.DiscreteSISO,Interfaces,success,,Blocks,fast,0,0,0,3,6,singular,singular,,,,0,0,1,2,false,1,0
Modelica.Blocks.Interfaces.IntegerMIBooleanMOs,Interfaces,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.IntegerMO,Interfaces,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.IntegerSIBooleanSO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.IntegerSO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.IntegerSignalSource,Interfaces,success,,Blocks,fast,0,0,0,1,2,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MI2BooleanMOs,Interfaces,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MI2MO,Interfaces,success,,Blocks,fast,0,0,0,0,1,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MIMO,Interfaces,success,,Blocks,fast,0,0,0,0,2,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MIMOs,Interfaces,success,,Blocks,fast,0,0,0,0,1,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MISO,Interfaces,success,,Blocks,fast,0,0,0,0,1,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MO,Interfaces,success,,Blocks,fast,0,0,0,0,1,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MVcontrol,Interfaces,success,,Blocks,fast,0,0,0,0,3,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.MVdiscrete,Interfaces,success,,Blocks,fast,2,0,2,9,21,singular,singular,,,,2,0,2,8,true,2,0
Modelica.Blocks.Interfaces.PartialBooleanMISO,Interfaces,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.PartialBooleanSISO_small,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.PartialConversionBlock,Interfaces,success,,Blocks,fast,0,0,0,0,0,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.PartialIntegerMISO,Interfaces,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.PartialIntegerSISO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.PartialNoise,Interfaces,success,,Blocks,fast,1,0,0,4,21,ok,,1,0,0,0,0,3,2,false,1,10
Modelica.Blocks.Interfaces.PartialRealMISO,Interfaces,success,,Blocks,fast,0,0,0,0,2,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.SI2BooleanSO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.SI2SO,Interfaces,success,,Blocks,fast,0,0,0,0,0,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.SIMO,Interfaces,success,,Blocks,fast,0,0,0,0,1,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.SISO,Interfaces,success,,Blocks,fast,0,0,0,0,0,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.SO,Interfaces,success,,Blocks,fast,0,0,0,0,0,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.SVcontrol,Interfaces,success,,Blocks,fast,0,0,0,0,0,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.SVdiscrete,Interfaces,success,,Blocks,fast,2,0,2,9,18,singular,singular,,,,2,0,2,8,false,2,0
Modelica.Blocks.Interfaces.SignalSource,Interfaces,success,,Blocks,fast,0,0,0,0,2,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanComparison,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSI,Interfaces,success,,Blocks,fast,0,0,0,0,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSI2SO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSI3SO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSISO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSO,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSource,Interfaces,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Interfaces.partialBooleanThresholdComparison,Interfaces,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Logical.And,Component,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,0,0
Modelica.Blocks.Logical.AssertCondition,Component,success,,Blocks,fast,0,0,0,0,1,error:empty system: no equations or unknowns,,,,,0,0,0,0,false,0,0
Modelica.Blocks.Logical.Change,Component,success,,Blocks,fast,0,0,0,1,2,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Logical.Edge,Component,success,,Blocks,fast,0,0,0,1,2,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Logical.FallingEdge,Component,success,,Blocks,fast,0,0,0,2,2,error:empty system: no equations or unknowns,,,,,0,0,0,2,false,1,0
Modelica.Blocks.Logical.Greater,Component,success,,Blocks,fast,0,0,0,2,1,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.GreaterEqual,Component,success,,Blocks,fast,0,0,0,2,1,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.GreaterEqualThreshold,Component,success,,Blocks,fast,0,0,0,2,2,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.GreaterThreshold,Component,success,,Blocks,fast,0,0,0,2,2,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.Hysteresis,Component,success,,Blocks,fast,0,0,0,2,5,error:empty system: no equations or unknowns,,,,,0,0,4,1,false,1,0
Modelica.Blocks.Logical.Less,Component,success,,Blocks,fast,0,0,0,2,1,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.LessEqual,Component,success,,Blocks,fast,0,0,0,2,1,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.LessEqualThreshold,Component,success,,Blocks,fast,0,0,0,2,2,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.LessThreshold,Component,success,,Blocks,fast,0,0,0,2,2,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.LogicalDelay,Component,success,,Blocks,fast,0,0,0,4,4,error:empty system: no equations or unknowns,,,,,0,0,4,3,false,1,0
Modelica.Blocks.Logical.LogicalSwitch,Component,success,,Blocks,fast,0,0,0,2,1,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Logical.Nand,Component,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,0,0
Modelica.Blocks.Logical.Nor,Component,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,0,0
Modelica.Blocks.Logical.Not,Component,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,0,0
Modelica.Blocks.Logical.OnOffController,Component,success,,Blocks,fast,0,0,0,2,4,error:empty system: no equations or unknowns,,,,,0,0,4,1,false,1,0
Modelica.Blocks.Logical.Or,Component,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,0,0
Modelica.Blocks.Logical.Pre,Component,success,,Blocks,fast,0,0,0,1,2,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Logical.RSFlipFlop,Component,success,,Blocks,fast,2,0,0,10,3,singular,singular,,,,2,0,0,8,false,2,0
Modelica.Blocks.Logical.Switch,Component,success,,Blocks,fast,1,0,0,1,1,ok,,1,0,0,0,0,2,0,false,1,0
Modelica.Blocks.Logical.TerminateSimulation,Component,success,,Blocks,fast,0,0,0,1,2,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Logical.Timer,Component,success,,Blocks,fast,1,0,0,2,3,ok,,1,0,0,0,0,2,1,false,1,0
Modelica.Blocks.Logical.TriggeredTrapezoid,Component,success,,Blocks,fast,1,0,0,4,10,ok,,1,0,0,0,0,4,3,false,1,0
Modelica.Blocks.Logical.Xor,Component,success,,Blocks,fast,0,0,0,1,0,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,0,0
Modelica.Blocks.Logical.ZeroCrossing,Component,success,,Blocks,fast,0,0,0,4,4,error:empty system: no equations or unknowns,,,,,0,0,2,3,false,1,0
Modelica.Blocks.Math.Abs,Component,success,,Blocks,fast,1,0,0,1,2,ok,,1,0,0,0,0,2,0,false,1,0
Modelica.Blocks.Math.Acos,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.Add,Component,success,,Blocks,fast,1,0,0,0,2,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Add3,Component,success,,Blocks,fast,1,0,0,0,3,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Asin,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.Atan,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.Atan2,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
