name,peak_ws_mb,secs,verdict
Modelica.Clocked.BooleanSignals.Sampler.SampleClocked,1259,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.SampleVectorizedAndClocked,1260,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.ShiftSample,1262,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.SubSample,1260,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.SuperSample,1273,4.8,ok
Modelica.Clocked.BooleanSignals.Sampler.Utilities.AssignClockToSquareWaveHold,1301,4.2,ok
Modelica.Clocked.BooleanSignals.Sampler.Utilities.AssignClockToTriggerHold,1276,4.3,ok
Modelica.Clocked.BooleanSignals.Sampler.Utilities.UpSample,1272,4.3,ok
Modelica.Clocked.BooleanSignals.TickBasedSources.Pulse,1264,4.7,ok
Modelica.Clocked.BooleanSignals.TickBasedSources.Step,1247,4.3,ok
Modelica.Clocked.BooleanSignals.TimeBasedSources.Pulse,1198,4.3,ok
Modelica.Clocked.BooleanSignals.TimeBasedSources.Step,1275,4.2,ok
Modelica.Clocked.ClockSignals.Clocks.EventClock,1176,4.2,ok
Modelica.Clocked.ClockSignals.Clocks.Logical.ConjunctiveClock,1247,4.8,ok
Modelica.Clocked.ClockSignals.Clocks.Logical.DisjunctiveClock,1269,4.3,ok
Modelica.Clocked.ClockSignals.Clocks.Logical.PartialLogicalClock,1266,4.3,ok
Modelica.Clocked.ClockSignals.Clocks.PeriodicExactClock,1188,4.2,ok
Modelica.Clocked.ClockSignals.Clocks.PeriodicRealClock,1208,4.3,ok
Modelica.Clocked.ClockSignals.Clocks.Rotational.FixedRotationalClock,1260,4.3,ok
Modelica.Clocked.ClockSignals.Clocks.Rotational.PartialRotationalClock,1251,4.3,ok
Modelica.Clocked.ClockSignals.Clocks.Rotational.RotationalClock,1299,4.2,ok
Modelica.Clocked.ClockSignals.Interfaces.ClockedBlockIcon,1252,4.3,ok
Modelica.Clocked.ClockSignals.Interfaces.PartialClock,1260,4.3,ok
Modelica.Clocked.ClockSignals.Interfaces.PartialPeriodicClock,1270,4.2,ok
Modelica.Clocked.ClockSignals.Sampler.ShiftSample,1274,4.2,ok
Modelica.Clocked.ClockSignals.Sampler.SubSample,1253,4.2,ok
Modelica.Clocked.ClockSignals.Sampler.SuperSample,1263,4.3,ok
Modelica.Clocked.Examples.CascadeControlledDrive.AbsoluteClocks,1331,5.4,ok
Modelica.Clocked.Examples.CascadeControlledDrive.Continuous,1205,5.5,ok
Modelica.Clocked.Examples.CascadeControlledDrive.SubClocked,1298,5.4,ok
Modelica.Clocked.Examples.CascadeControlledDrive.SuperSampled,1331,5.4,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.AssignClock,1189,4.9,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.AssignClockVectorized,1198,4.9,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.BackSample,1211,4.9,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.Hold,1323,4.9,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.Sample1,1260,4.4,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.Sample2,1276,4.4,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.SampleClocked,1263,4.4,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.SampleVectorizedAndClocked,1261,4.4,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.ShiftSample,1278,4.9,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.SubSample,1213,4.9,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.SuperSample,1289,4.9,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.TickBasedPulse,1267,4.4,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.TickBasedStep,1264,4.3,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.TimeBasedPulse,1300,4.2,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.TimeBasedStep,1267,4.4,ok
Modelica.Clocked.Examples.Elementary.BooleanSignals.UpSample,1278,4.9,ok
Modelica.Clocked.Examples.Elementary.ClockSignals.LogicalSample,1243,4.9,ok
Modelica.Clocked.Examples.Elementary.ClockSignals.RotationalSample,1256,4.8,ok
Modelica.Clocked.Examples.Elementary.ClockSignals.ShiftSample,1286,4.3,ok
Modelica.Clocked.Examples.Elementary.ClockSignals.SubSample,1256,4.2,ok
Modelica.Clocked.Examples.Elementary.ClockSignals.SuperSample,1260,4.3,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.AssignClock,1249,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.AssignClockVectorized,1205,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.BackSample,1215,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.Hold,1284,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.Sample1,1285,4.3,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.Sample2,1245,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.SampleClocked,1269,4.3,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.SampleVectorizedAndClocked,1267,4.3,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.ShiftSample,1197,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.SubSample,1289,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.SuperSample,1287,4.8,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.TickBasedStep,1250,4.2,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.TimeBasedStep,1265,4.3,ok
Modelica.Clocked.Examples.Elementary.IntegerSignals.UpSample,1292,4.9,ok
Modelica.Clocked.Examples.Elementary.RealSignals.AssignClock,1262,4.3,ok
Modelica.Clocked.Examples.Elementary.RealSignals.AssignClockToSquareWaveHold,1270,4.3,ok
Modelica.Clocked.Examples.Elementary.RealSignals.AssignClockToTriggerHold,1198,4.7,ok
Modelica.Clocked.Examples.Elementary.RealSignals.AssignClockVectorized,1261,4.3,ok
Modelica.Clocked.Examples.Elementary.RealSignals.BackSample,1263,4.3,ok
Modelica.Clocked.Examples.Elementary.RealSignals.FractionalDelay,1255,4.8,ok
Modelica.Clocked.Examples.Elementary.RealSignals.Hold,1261,4.3,ok
Modelica.Clocked.Examples.Elementary.RealSignals.HoldWithDAeffects1,1259,4.8,ok
