name,kind,outcome,message,secs,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,n_blocks,n_coupled,largest_coupled,has_arrays,max_depth,n_functions
Modelica.Blocks.Interfaces.PartialNoise,Interfaces,success,,0.259,1,0,0,4,21,ok,1,0,0,false,1,10
Modelica.Blocks.Interfaces.PartialRealMISO,Interfaces,success,,0.203,0,0,0,0,2,singular,,,,false,0,0
Modelica.Blocks.Interfaces.SI2BooleanSO,Interfaces,success,,0.222,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.SI2SO,Interfaces,success,,0.211,0,0,0,0,0,singular,,,,false,0,0
Modelica.Blocks.Interfaces.SIMO,Interfaces,success,,0.210,0,0,0,0,1,singular,,,,false,0,0
Modelica.Blocks.Interfaces.SISO,Interfaces,success,,0.211,0,0,0,0,0,singular,,,,false,0,0
Modelica.Blocks.Interfaces.SO,Interfaces,success,,0.208,0,0,0,0,0,singular,,,,false,0,0
Modelica.Blocks.Interfaces.SVcontrol,Interfaces,success,,0.212,0,0,0,0,0,singular,,,,false,0,0
Modelica.Blocks.Interfaces.SVdiscrete,Interfaces,success,,0.224,2,0,2,9,18,singular,,,,false,2,0
Modelica.Blocks.Interfaces.SignalSource,Interfaces,success,,0.212,0,0,0,0,2,singular,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanComparison,Interfaces,success,,0.210,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSI,Interfaces,success,,0.213,0,0,0,0,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSI2SO,Interfaces,success,,0.215,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSI3SO,Interfaces,success,,0.210,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSISO,Interfaces,success,,0.212,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSO,Interfaces,success,,0.213,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanSource,Interfaces,success,,0.214,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Interfaces.partialBooleanThresholdComparison,Interfaces,success,,0.212,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Logical.And,Component,success,,0.211,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Logical.AssertCondition,Component,success,,0.212,0,0,0,0,1,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Logical.Change,Component,success,,0.213,0,0,0,1,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.Edge,Component,success,,0.215,0,0,0,1,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.FallingEdge,Component,success,,0.210,0,0,0,2,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.Greater,Component,success,,0.208,0,0,0,2,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.GreaterEqual,Component,success,,0.212,0,0,0,2,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.GreaterEqualThreshold,Component,success,,0.214,0,0,0,2,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.GreaterThreshold,Component,success,,0.211,0,0,0,2,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.Hysteresis,Component,success,,0.216,0,0,0,2,5,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.Less,Component,success,,0.228,0,0,0,2,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.LessEqual,Component,success,,0.216,0,0,0,2,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.LessEqualThreshold,Component,success,,0.212,0,0,0,2,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.LessThreshold,Component,success,,0.211,0,0,0,2,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.LogicalDelay,Component,success,,0.217,0,0,0,4,4,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.LogicalSwitch,Component,success,,0.213,0,0,0,2,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.Nand,Component,success,,0.216,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
